# Вопросы для замера порога отсечения.
# Формат: метка | вопрос
#
#   in   — вопрос ПО загруженным учебникам, ответ в них есть.
#          Такой вопрос обязан пройти порог.
#   out  — вопроса в учебниках НЕТ. Такой вопрос обязан быть отсечён.
#
# Запуск: python tools/check_threshold.py
#
# Самые важные строки здесь — не «Кто такой Абай?», а математические
# вопросы с меткой out: они звучат похоже на учебник и именно на них
# порог ломается в первую очередь.

# --- Есть в учебниках: дроби, 5 класс -----------------------------------
in  | Как сложить 1/4 и 1/6?
in  | Как сложить дроби с разными знаменателями?
in  | Что такое общий знаменатель?
in  | Как привести дроби к общему знаменателю?
in  | Как сравнить две дроби?
in  | Как вычесть дроби с одинаковыми знаменателями?
in  | Что такое правильная и неправильная дробь?

# --- Есть в учебниках: рациональные числа, 6 класс ----------------------
in  | Как сложить числа с разными знаками?
in  | Как сложить -5 и 3?
in  | Что делать со знаком при сложении отрицательных чисел?

# --- Есть в учебниках: формулы сокращённого умножения, 7 класс ----------
in  | Что такое разность квадратов?
in  | Как разложить a^2 - b^2 на множители?
in  | Чему равен квадрат суммы?
in  | Формула квадрата разности

# --- Есть в учебниках: квадратные уравнения, 8 класс --------------------
in  | Что такое дискриминант?
in  | Как решить квадратное уравнение?
in  | Сколько корней у квадратного уравнения, если дискриминант меньше нуля?
in  | Формула корней квадратного уравнения

# --- Есть в учебниках, вопрос на казахском ------------------------------
in  | Бөлшектерді қалай қосамыз?
in  | Ортақ бөлім деген не?
in  | Дискриминант деген не?

# --- НЕТ в учебниках: математика, но другие темы ------------------------
# Это главная проверка. Вопросы звучат «по-учебниковому», и если порог
# слишком низкий, они пролезут и ИИ начнёт отвечать по памяти.
out | Как найти площадь круга?
out | Что такое теорема Пифагора?
out | Как найти синус угла?
out | Что такое производная?
out | Как решить систему линейных уравнений?
out | Как умножить десятичные дроби?
out | Что такое логарифм?
out | Как найти объём цилиндра?
out | Что такое арифметическая прогрессия?
out | Как построить график функции y = kx + b?

# --- НЕТ в учебниках: другие предметы -----------------------------------
out | Что такое сила тяжести?
out | Как расставить коэффициенты в химическом уравнении?
out | Что такое фотосинтез?

# --- НЕТ в учебниках: вообще не про учёбу -------------------------------
out | Кто такой Абай?
out | Кто выиграл чемпионат мира по футболу?
out | Какая погода завтра в Астане?
out | Расскажи анекдот
