# Заготовленные вопросы для демо. Формат: режим | язык | класс | вопрос
# Собирается скриптом tools/build_answers.py в frontend/api/answers.json

explain | ru | 8 | Как сложить 1/4 и 1/6?
explain | ru | 8 | Как сложить дроби с разными знаменателями?
explain | ru | 8 | Что такое общий знаменатель?
explain | ru | 8 | Как привести дроби к общему знаменателю?
explain | ru | 8 | Как сравнить две дроби?
explain | ru | 8 | Как вычесть дроби с одинаковыми знаменателями?
mentor | ru | 8 | Как сложить 1/4 и 1/6?
mentor | ru | 8 | Помоги решить 1/2 + 1/3
explain | kk | 8 | Бөлшектерді қалай қосамыз?
explain | kk | 8 | Ортақ бөлім деген не?
explain | ru | 8 | Кто такой Абай?
explain | ru | 8 | Кто выиграл чемпионат мира по футболу?
